gameRefId,frameNum,period,periodGameClockTime,game_event_id,possession_event_id,game_event_type,team_name,home_team,home_ball,game_event_start_frame,game_event_end_frame,game_event_start_time,game_event_end_time,possession_event_type,possession_start_frame,possession_end_frame,possession_start_time
,160544,2,5035.96949,6630179.0,,OTB,Netherlands,1.0,True,160515.0,160613.0,5355.856,5359.126,,,,
,160545,2,5036.002857,6630179.0,,OTB,Netherlands,1.0,True,160515.0,160613.0,5355.856,5359.126,,,,
,160546,2,5036.036224,6630179.0,,OTB,Netherlands,1.0,True,160515.0,160613.0,5355.856,5359.126,,,,
,160547,2,5036.06959,6630179.0,,OTB,Netherlands,1.0,True,160515.0,160613.0,5355.856,5359.126,,,,
,160548,2,5036.102957,6630179.0,,OTB,Netherlands,1.0,True,160515.0,160613.0,5355.856,5359.126,,,,
,160549,2,5036.136324,6630179.0,,OTB,Netherlands,1.0,True,160515.0,160613.0,5355.856,5359.126,,,,
,160550,2,5036.16969,6630179.0,,OTB,Netherlands,1.0,True,160515.0,160613.0,5355.856,5359.126,,,,
,160551,2,5036.203057,6630179.0,,OTB,Netherlands,1.0,True,160515.0,160613.0,5355.856,5359.126,,,,
,160552,2,5036.236424,6630179.0,,OTB,Netherlands,1.0,True,160515.0,160613.0,5355.856,5359.126,,,,
,160553,2,5036.26979,6630179.0,,OTB,Netherlands,1.0,True,160515.0,160613.0,5355.856,5359.126,,,,
,160554,2,5036.303157,6630179.0,,OTB,Netherlands,1.0,True,160515.0,160613.0,5355.856,5359.126,,,,
,160555,2,5036.336524,6630179.0,,OTB,Netherlands,1.0,True,160515.0,160613.0,5355.856,5359.126,,,,
,160556,2,5036.369891,6630179.0,,OTB,Netherlands,1.0,True,160515.0,160613.0,5355.856,5359.126,,,,
,160557,2,5036.403257,6630179.0,,OTB,Netherlands,1.0,True,160515.0,160613.0,5355.856,5359.126,,,,
,160558,2,5036.436624,6630179.0,,OTB,Netherlands,1.0,True,160515.0,160613.0,5355.856,5359.126,,,,
,160559,2,5036.469991,6630179.0,,OTB,Netherlands,1.0,True,160515.0,160613.0,5355.856,5359.126,,,,
,160560,2,5036.503357,6630179.0,,OTB,Netherlands,1.0,True,160515.0,160613.0,5355.856,5359.126,,,,
,160561,2,5036.536724,6630179.0,,OTB,Netherlands,1.0,True,160515.0,160613.0,5355.856,5359.126,,,,
,160562,2,5036.570091,6630179.0,,OTB,Netherlands,1.0,True,160515.0,160613.0,5355.856,5359.126,,,,
,160563,2,5036.603457,6630179.0,,OTB,Netherlands,1.0,True,160515.0,160613.0,5355.856,5359.126,,,,
,160564,2,5036.636824,6630179.0,,OTB,Netherlands,1.0,True,160515.0,160613.0,5355.856,5359.126,,,,
,160565,2,5036.670191,6630179.0,,OTB,Netherlands,1.0,True,160515.0,160613.0,5355.856,5359.126,,,,
,160566,2,5036.703558,6630179.0,,OTB,Netherlands,1.0,True,160515.0,160613.0,5355.856,5359.126,,,,
,160567,2,5036.736924,6630179.0,,OTB,Netherlands,1.0,True,160515.0,160613.0,5355.856,5359.126,,,,
,160568,2,5036.770291,6630179.0,,OTB,Netherlands,1.0,True,160515.0,160613.0,5355.856,5359.126,,,,
,160569,2,5036.803658,6630179.0,,OTB,Netherlands,1.0,True,160515.0,160613.0,5355.856,5359.126,,,,
,160570,2,5036.837024,6630179.0,,OTB,Netherlands,1.0,True,160515.0,160613.0,5355.856,5359.126,,,,
